osm_toilets_58_wheelchair;keep
osm_ele_58_wgs84;keep
osm_bollard;
osm_bic;
osm_origin;
osm_bicycle_parking;keep
osm_capacity;keep
osm_generator_58_method;
osm_generator_58_output_58_electricity;
osm_generator_58_source;
osm_manufacturer;
osm_internet_access_58_fee;
osm_outdoor_seating;
osm_addr_58_place;
osm_payment_58_telephone_cards;
osm_sms;
osm_video;
osm_leaf_cycle;
osm_fireplace;keep
osm_ferry;
osm_vehicle;
osm_wpt_description;
osm_recycling_58_batteries;keep
osm_capacity_58_disabled;
osm_fuel_58_1_25;
osm_fuel_58_1_50;
osm_fuel_58_biogas;
osm_fuel_58_cng;
osm_fuel_58_e85;
osm_fuel_58_electricity;
osm_fuel_58_octane_100;
osm_contact_58_email;
osm_currency_58_EUR;
osm_currency_58_others;
osm_waterway;keep
osm_hearing_impaired_58_induction_loop;
osm_theatre_58_genre;
osm_toilets;keep
osm_architect;
osm_heritage;
osm_heritage_58_operator;
osm_ref_58_witten;
osm_seamark_58_harbour_58_category;
osm_seamark_58_name;
osm_seamark_58_type;
osm_contact_58_facebook;
osm_payment_58_american_express;
osm_payment_58_mastercard;
osm_payment_58_visa;
osm_takeaway;
osm_addr_58_housename;
osm_drive_through;
osm_fire_hydrant_58_diameter;
osm_fire_hydrant_58_position;
osm_fire_hydrant_58_type;
osm_addr_58_suburb;
osm_recycling_58_shoes;
osm_FIXME_1;
osm_cables;
osm_disused_58_amenity;
osm_healthcare;
osm_contact_58_fax;
osm_type;
osm_heritage_58_ref;
osm_heritage_58_since;
osm_heritage_58_website;
osm_asb;
osm_onkz;
osm_bus_lines;keep
osm_enforcement;
osm_seamark_58_notice_58_category;
osm_seamark_58_notice_58_function;
osm_waterway_58_vehicle;
osm_vending;
osm_drinking_water;keep
osm_toilets_58_disposal;
osm_toilets_58_position;
osm_unisex;keep
osm_brothel_58_swingerclub;keep
osm_artwork_58_name;
osm_internet_access_58_operator;
osm_backrest;
osm_colour;
osm_seats;keep
osm_heritage_58_operator_58_short;
osm_year_of_construction;
osm_payment_58_notes;
osm_monument;
osm_species_58_de;
osm_tree;
osm_entrance_58_light;
osm_disused;
osm_castle_type;
osm_name_58_eo;
osm_ref_58_ebidat;
osm_ruins;keep
osm_ford;
osm_payment_58_diners_club;
osm_payment_58_jcb;
osm_de_58_zuflusskontrolle;
osm_narrow;keep
osm_tower_58_type;
osm_service_58_bicycle_58_pump;
osm_service_58_bicycle_58_repair;
osm_service_58_bicycle_58_retail;
osm_payment_58_others;
osm_building_58_colour;
osm_building_58_levels;keep
osm_building_58_material;
osm_roof_58_colour;
osm_roof_58_material;
osm_roof_58_shape;
osm_end_date;
osm_hide;
osm_contact;
osm_diet_58_halal;
osm_indoor;
osm_payment_58_maestro;
osm_traffic_signal_58_direction;
osm_barrierfree_58_website;
osm_subject;
osm_crossing_58_barrier;
osm_crossing_58_saltire;
osm_railway_58_signal_58_distant;
osm_railway_58_signal_58_distant_58_form;
osm_railway_58_signal_58_distant_58_height;
osm_railway_58_signal_58_distant_58_repeated;
osm_railway_58_signal_58_distant_58_states;
osm_railway_58_signal_58_speed_limit_distant;
osm_railway_58_signal_58_speed_limit_distant_58_form;
osm_railway_58_signal_58_speed_limit_distant_58_speed;
osm_ref_58_DB;
osm_direction;keep
osm_surveillance;
osm_contact_58_twitter;
osm_wifi;
osm_shelter_type;
osm_craft;
osm_dog;
osm_support;
osm_payment_58_debit_cards;
osm_shoes;keep
osm_disused_58_shop;
osm_abandoned_58_waterway;
osm_atm_58_outdoor;
osm_min_age;
osm_tower_58_construction;
osm_drink_58_club_45_mate;
osm_note2;
osm_height;keep
osm_light_58_character;
osm_light_58_colour;
osm_light_58_signal_period;
osm_lighthouse;
osm_lock;
osm_office;
osm_payment_58_electronic_purses;
osm_recycling_58_scrap_metal;
osm_map_size;
osm_map_type;
osm_species;keep
osm_memorial_58_type;
osm_diet_58_lactose_free;
osm_pastry_shop;
osm_route_ref;
osm_pay;
osm_bike_ride;
osm_room;
