"file_in";"ObjAB";"ObjAG";"ObjAGN";"ObjArt";"ObjArtN";"Geometrie";"Feld_in";"Quelle";"Dateiname_out";"Feld_out";"Wert_out";"Prioritaet";"Out_ID1"
"SchwimmbadBadestelle.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_013";"SchwimmbadBadestelle";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1450";3;"OldID_str"
"SchwimmbadBadestelle.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_013";"SchwimmbadBadestelle";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4320";3;"OldID_str"
"SchwimmbadBadestelle.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_013";"SchwimmbadBadestelle";"Point";"nurGeometrie";"ALKIS";"AX_Gebaeude.shp";"GFK";"3221";3;"OldID_str"
"Seniorentreff.shp";"POI";4000;"Soziales";"4000_005";"Seniorentreff";"Point";"nurGeometrie";"ALKIS";"AX_Gebaeude.shp";"GFK";"3063";3;"OldID_str"
"Solaranlage.shp";"UmweltVersorgung";1100;"UmweltVersorgung";"1100_007";"Solaranlage";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"BWF";"1230";3;"OldID_str"
"Gluecksspiel.shp";"POI";7000;"EinkaufenDienstleistung";"7000_016";"Gluecksspiel";"Point";"nurGeometrie";"ALKIS";"AX_Gebaeude.shp";"GFK";"2094";3;"OldID_str"
"Gluecksspiel.shp";"POI";7000;"EinkaufenDienstleistung";"7000_016";"Gluecksspiel";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"WGF";"1050";3;"OldID_str"
"Spielplatz.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_016";"Spielplatz";"Point";"nurGeometrie";"ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4470";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1410";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1411";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1412";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1420";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1430";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1431";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1432";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1440";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1450";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1470";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"1480";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4100";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4101";3;"OldID_str"
